entity1,relation,entity2,merged_sentence,label
Intents,are used extensively within,the Android Platform,intents are used extensively within the android platform,T
Microsoft Visual C++,supports debugging,raw assembly code,microsoft visual c++ supports debugging raw assembly code,T
Microsoft Visual C++,supports debugging,a native code,microsoft visual c++ supports debugging a native code,T
Microsoft Visual C++,allows,multiple processes,microsoft visual c++ allows multiple processes,T
Grails,has,a plugin architecture,grails has a plugin architecture,T
a plugin architecture,can provide,common web application,a plugin architecture can provide common web application,T
Google Cloud Platform,provides,store data,google cloud platform provides store data,T
Google Cloud Platform,provides,cloud computing services,google cloud platform provides cloud computing services,T
Google Cloud Platform,provides,store data,google cloud platform provides store data,T
Java EE,specifies,client architectures,java ee specifies client architectures,T
Java EE,uses,profiles,java ee uses profiles,T
Java EE,define,technology sets,java ee define technology sets,T
Java EE,is currently migrating to,level project EE4J,java ee is currently migrating to level project ee4j,T
Java EE,is currently migrating to,the intent,java ee is currently migrating to the intent,T
Java EE,is currently migrating to,the Eclipse Foundation,java ee is currently migrating to the eclipse foundation,T
Java EE,has been rebranded as,open community process,java ee has been rebranded as open community process,T
Java EE,has been rebranded as,Jakarta EE,java ee has been rebranded as jakarta ee,T
Redux,serves as,a centralized store,redux serves as a centralized store,T
Dijkstra's algorithm,runs in,quadratic time,dijkstra's algorithm runs in quadratic time,T
Dijkstra's algorithm,can be shown to run,a fast Fibonacci heap,dijkstra's algorithm can be shown to run a fast fibonacci heap,T
Meteor,is built on,one unifying idea,meteor is built on one unifying idea,T
npm,became fully supported,Meteor,npm became fully supported meteor,T
Xcode,provides,an object model editor,xcode provides an object model editor,T
WooCommerce,is built in,jquery,woocommerce is built in jquery,T
WooCommerce,is built in,php,woocommerce is built in php,T
WooCommerce,is built in,mysql,woocommerce is built in mysql,T
WooCommerce,is built in,javascript,woocommerce is built in javascript,T
WooCommerce,is now owned by,WooCommerce parent company Automattic,woocommerce is now owned by woocommerce parent company automattic,T
ViewModel,is used in,frameworks including wpf,viewmodel is used in frameworks including wpf,T
ViewModel,is used in,all xaml,viewmodel is used in all xaml,T
Virtual Machine,can be used as,a scripting language,virtual machine can be used as a scripting language,T
Vim,allows,high efficiency,vim allows high efficiency,T
Vim,has,a steep learning curve,vim has a steep learning curve,T
Vim,allows,many text editing tasks,vim allows many text editing tasks,T
Vim,is available on,a large number,vim is available on a large number,T
Vim,is often called,programmer's editor,vim is often called programmer's editor,T
Vim,is perfect for,all kinds,vim is perfect for all kinds,T
Vim,is perfect for,composing email,vim is perfect for composing email,T
Cloud Firestore,is integrated into,both Firebase,cloud firestore is integrated into both firebase,T
Cloud Firestore,is integrated into,Google Cloud Platform,cloud firestore is integrated into google cloud platform,T
Lambda expressions,are supported in,java,lambda expressions are supported in java,T
Android,does not currently use,java,android does not currently use java,T
The mysqli PHP extension,provides,level mapping,the mysqli php extension provides level mapping,T
The mysqli PHP extension,provides,MySQL's C interface,the mysqli php extension provides mysql's c interface,T
The mysqli PHP extension,was deprecated in,PHP version,the mysqli php extension was deprecated in php version,T
mysqli features,provide,an equivalent procedural interface,mysqli features provide an equivalent procedural interface,T
mysqli features,provide,interface,mysqli features provide interface,T
Beautiful Soup,can use,standard HTML parser,beautiful soup can use standard html parser,T
Beautiful Soup,can use,other parsers,beautiful soup can use other parsers,T
Beautiful Soup,provides,idiomatic ways,beautiful soup provides idiomatic ways,T
Beautiful Soup,works only on,Python 2.x,beautiful soup works only on python 2.x,T
Spring Security,can be used to secure,URLs,spring security can be used to secure urls,T
Spring Security,can be used to secure,method invocations,spring security can be used to secure method invocations,T
Spring Security,is widely used to secure,REST applications,spring security is widely used to secure rest applications,T
Spring Security,is widely used to secure,standalone web applications,spring security is widely used to secure standalone web applications,T
Spring Security,is widely used to secure,portlets,spring security is widely used to secure portlets,T
Spring Security,is released under,an Apache 2.0 license,spring security is released under an apache 2.0 license,T
DLLs,can contain,code,dlls can contain code,T
DLLs,can contain,data,dlls can contain data,T
DLLs,can contain,resources,dlls can contain resources,T
DLLs,can contain,EXEs,dlls can contain exes,T
NetBeans,refers to,an integrated development environment,netbeans refers to an integrated development environment,T
NetBeans,refers to,a platform framework,netbeans refers to a platform framework,T
NetBeans IDE,provides,multiple project windows,netbeans ide provides multiple project windows,T
the NetBeans GUI Builder,has been used to,prototype GUIs,the netbeans gui builder has been used to prototype guis,T
the NetBeans GUI Builder,has been used to,customer presentations,the netbeans gui builder has been used to customer presentations,T
the NetBeans GUI Builder,provides,static analysis tools,the netbeans gui builder provides static analysis tools,T
NetBeans IDE,includes,a visual debugger,netbeans ide includes a visual debugger,T
NetBeans IDE,has,editors,netbeans ide has editors,T
NetBeans IDE,can be installed on,all operating systems,netbeans ide can be installed on all operating systems,T
NetBeans IDE,is written in,Java,netbeans ide is written in java,T
The Highcharts library,works in,all modern browsers,the highcharts library works in all modern browsers,T
Apache Kafka Apache Kafka,is used for building,time data pipelines,apache kafka apache kafka is used for building time data pipelines,T
